text_customer,text_uber,intent,escalate
@Uber_Support hi I received the Ride Pass email and have used it in the past but it is not showing in the app,@126799 Hey! Please visit the link for more info. Let us know if you have further questions. https://t.co/FKBK5sbwQh,support_followup,False
Waiting 15 min for an @115873 at LGA? Wtf?? Might as well just grab a taxi... #NYC,@490789 Here to help! Please send us a note at https://t.co/e8HVorX5rh and we'll be happy to look into this for you.,ride_booking_cancellation,True
@Uber_Support We tried @9150 o'clock. Little upset it wasn't working for an hour.,"@422636 We don't blame you, James! We absolutely want to hear more about the trouble you were having. Please refer to our DM + send us the details.",support_followup,False
@Uber_Support I got a thank you for advising you of the issue with my ride.I guess that's it.If only you were @115821-they know support.,"@592789 It seems a member of our team has reached out to you. If you have further questions or concerns, please reply to the email thread.",support_followup,False
"@Uber_Support 
i received an email saying my insurance I applied with is expired. Like i told the representative yesterday, that is the EFFECTIVE date not the expiration date",@742201 We're here to help! Please send us a note via https://t.co/tv4psVPJjZ so we can connect.,support_followup,True
@Uber_Support I am not able to request a ride.My mail is __email__ message directing me to contact uber help. https://t.co/JZCRpsBGnn,@761571 Thank you for providing that information. We can assure you a member of our team will be in touch asap via in app support. Thank you for your patience.,ride_booking_cancellation,False
@Uber_Support I tried going on the link and it's just very confusing and overwhelming for me... I've been online for FOUR hours destination set to the airport... last rider I got was going the complete opposite direction so I had to cancel for him. https://t.co/rJt0LGEHjX,@692087 Here to help! Please send us a DM with your email address with details so we can follow up.,ride_booking_cancellation,True
@115873 did you decide to loot hyderabad today?have identified 3 cases where u over charged customers today..and what is this new trend of sending a message like u may be charged high and driver will inform?after the trip starts?no traffic jam no waiting no longer route,@140221 We apologize for the trouble! Send us a DM with your email address and we'll connect.,driver_issue,True
"@Uber_Support Ok I have done, but last time I was hacked that support team didn't get back to me for over a week, whilst someone ubered around Glasgow.","@293950 Let's take a closer look into this, Sean. DM the email address used to write into our support so we can take a look. https://t.co/sd7yH5jmbJ",account_access_security,False
"@115873 @Uber_Support 
__email__
Not able to book a ride. Always pop-up a message that visit https://t.co/7lQbjedBQa.
It didn't give me solution. Please aolve my issue asap.
Thanks Team @115873","@494702 Here to help! Send us a note here, https://t.co/xMxswVLBKT, and our team will follow up.",ride_booking_cancellation,True
@115877 I need a contact number to make a complaint,"@297778 Hi, Kate - here to help. Please DM us the email linked to your Uber account so we can follow up with you on this.",support_followup,False
@115873 has the worst customer service,@267813 We're so sorry about that! Can you please send us a DM with your email address and additional details so we can assist?,support_followup,False
@Uber_Support I deleted all forms of payment and just left gift card as only form of payment so hopefully that will resolve the problem. Thanks,"@225871 Thanks for reaching back out to us about this, Monica. However, you will need to add a standard debit or credit card on your account in order to use the gift card. Please let us know if you have any further questions.",benefits_other,False
So my @115873 driver just got a tude with me bc I have the window down. It smells of shit in here. &amp; I didn’t even complain,"@647943 That doesn't sound right! Send us a note here, https://t.co/TmWmJyGFaK, and our team will be in touch.",driver_issue,False
"@Uber_Support My @115877 order just arrived. When I sat down to eat it, another driver called telling me they had my order. Did the vendor fill the order twice or am I gonna be charged twice? What's up with that?","@696349 Hi there, we're here to help! Send us a note here; https://t.co/EGiaYE5JMU so we can assist.",uber_eats,False
"@115873 and their Support is... uugghhh @uber_support
maybe I am having incorrect expectations from their support team.",@122236 Here to help! Send us a note at https://t.co/e8HVorX5rh so our team can connect.,support_followup,False
"@Uber_Support Thanks for telling me what I already knew with that useless support reply &amp; uninformative link. Way to screw up your promo, @175881.","@419309 Sorry to hear about the trouble, Stephen. Demand is high and supply is limited. Keep on trying!",support_followup,False
@Uber_Support Account holder does not know too much about Internet or technology. Doesn’t remember password or have access to e-mail account. I am assisting her as her brother.,@772056 We do not currently offer phone support for theses types of issues. Please DM us the account holder's phone number so we can take a look at their account.,account_access_security,False
@Uber_Support Already raised a case there..pls chk and revert on priority,@134370 We see your outreach and a member of our team will be following up via email as soon as possible. We appreciate your patience.,support_followup,True
@Uber_Support I sent you my email as DM as you requested so you could follow up. But you have chosen not to,"@555316 Hi, Louise. A member of our team will be following up with you via in-app support shortly.",support_followup,True
@115873 my #uber driver pulled his penis out of his pants and just #peed in a cup WHILE driving!!!!!! I was just #sexuallyassaulted in an uber,@491558 We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,driver_issue,True
@Uber_Support can you guys just cancel that order?,@474186 We're here to help! Send us a DM with your email address so we can connect.,uber_eats,True
@115877 The app and the site are down.,@143500 Here to help! Please send us a DM with your email address with details so we can follow up.,account_access_security,False
@115873 really disgusting you are charging wrong amnt...despite of initial promise...pls chk @Uber_Support,@134370 We see your outreach and a member of our team will be following up via email as soon as possible. We appreciate your patience.,fare_charge,True
"@Uber_Support hi there, can I please put a request in for a refund as the uber driver charged me when I wasn't in the car","@369649 That doesn't sound right, Elliot. Please send us a DM with your account email address + details and we'll be in touch.",refund,False
"@115873 am tired of seeing ""New Car""instead of plate #! Plz require drivers to enter their plate numbers '- this is a security issue.",@456408 That's not ok! Send us a note at https://t.co/XzaYTzi0AO and our team will follow up right away.,driver_issue,True
"@Uber_Support Does ride pass just show up on the app? I’ve used a considerable amount of rides, so I wonder if the criteria is not how much rides you use",@377223 Hello! Thanks for your patience. Please check your DM ( direct messages) for our reply.,support_followup,False
"@Uber_Support 
My car is in body shop since October 26 and will be there for while. How to do to take advantage of Uber partners car rental.
Thank you",@625337 Here to help! Send us a note at https://t.co/TIgtpUNWG1 so our team can connect.,benefits_other,False
@Uber_Support Hi can you please let me know what happened to my Uber Pass ? I had it on auto renew and now it disappeared,@642052 We've received your DM and a member of our team has reached out. Please review your messages for our response.,support_followup,False
"@Uber_Support I sent DM to __email__
Please revert back ASAP. from 2 weeks i am waiting",@563041 Please send us a DM with your account email address for further assistance.,support_followup,True
"Hey @Uber_Support , how long should i wait for a reply??",@762207 Here to help! Please send us a DM (direct message)  with your email address for further assist.,support_followup,True
@Uber_Support when will the instant cash out work?,@130546 Sorry for the trouble. Our team is actively looking into this so please stay tuned for updates.,support_followup,False
@Uber_Support Hi issue still not resolved,"@189071 Hi, Jeremy. Any applicable updates will be through your support message. We appreciate your patience while our team reviews this further.",support_followup,True
@Uber_Support its ok if you cannot provide me the driver details... i just wanted the exact pick up point from Rajokri to the airport this evening... it wasnt very clear on the ETA.. could you kindly help with just that...,"@150628 Hi, Shibani. The pickup location can be found on your receipt via your account email. Have a wonderful rest of your day!",driver_issue,False
"@115877 @119983 @115873 Received completely wrong order. Complained twice. 
Le Uber be like : Thank you for your feedback.
Such a great customer care.
Order 384E6",@145156 Let's take a further look into this. Please send us a DM with some additional details on what was missing.,uber_eats,True
@115873 driver stole my iphone. Tracked for a minute. He turned the phone off and wont answer his phone. Help https://t.co/OBg3jv0DkJ,@676234 We're sorry to hear this. We're going to need you to send us the details to this page here; https://t.co/IYZIHnGCtx.,driver_issue,True
@115873 Can you please make sure your drivers understand how GPS works. My one hour and 30 min ride turn into 3 hours.😭😭😭😡,@349178 We're sorry to hear this was your experience. Contact us via https://t.co/y4EDPcVZOI and we'll be in touch.,driver_issue,True
"Highly disappointed with @115873 @Uber_Support. This is the third time, I filed a complaint against their driver but never got any support/help/reply.
 Yesterday I stucked with the wrong driver who allowed someone to accompany him &amp; took wrong route to GNH, Gurgaon.",@279430 We're here to help. Can you please send us a DM with your email address so we can look into this?,driver_issue,True
"@Uber_Support I live in Albuquerque, NM. How can I add Uber Español to my passenger options? Thanks!","@381876 Hey, John. Send us a note at https://t.co/balq3Eyso6 and a member of our team will follow up soon.",support_followup,False
Fuck Uber and everything they represent!! @115873 how does a 5 cancellations and supposedly 3mins away! You what fuck your app,@445521 We're sorry to hear about your experience! Please send us a note at https://t.co/QsI1vsvcif and we'll be happy to look into this for you.,ride_booking_cancellation,True
"@Uber_Support we need a way to complain about drivers who accept the trip, talk to us and don't turn up",@491246 We're here to help! Send us a DM with your email address so we can connect.,driver_issue,False
@435368 @115873 Dont expect anything back from @115873 they said they were outside my house to pick me up when they clearly werent then charged me £6,@435900 We can take a look! Send us a note via https://t.co/h840Iouehc so our team can get in touch.,driver_issue,False
@Uber_Support See @1143  system there system is so transparent.,@300680 We've received your DM and a member of our team has reached out. Please review your messages for our response.,support_followup,False
@Uber_Support Unfortunately that's not quite it - can we ask about a particular driver? We got an unreasonable 2/5,@323193 Will you please DM us with your email address associated with your account and more details of your concern? We'll look into it.,support_followup,False
@115877 @64394 Ordered at 4 got a driver at 5 and cancelled shortly after what’s happening here? https://t.co/vaawOF9XzE,@484433 Here to help! Send us a note at https://t.co/P4hKbfQBbP so our team can connect.,ride_booking_cancellation,True
@Uber_Support  it says my car is not eligible for rides in Harrisburg PA.?????,@311228 We'd be happy to look into this for you. Please send us a note at https://t.co/1wnvOyFwTJ so we can connect.,location_app_issue,True
Hi @115877 I think my driver had a 40 minute nap in between pickup and delivery. How hard do you work these guys? Jk he was awful.,@191905 Let's take a further look into this. Please send us a DM with your email and phone number linked to your account.,uber_eats,True
I woke up to the most absurd response from @115873 @Uber_Support @115877 and their suggestion was I trouble shoot the app when it didn’t work properly AFTER they forgot half my food order. https://t.co/d6QMVzH15O,@649072 Here to help! Send us a DM with your email address so we can connect.,uber_eats,True
"@Uber_Support None of the issues that faced are listed on your support portal, so it doesn't help in any manner.",@207056 We'd be happy to follow up with you directly instead. Send us a DM with your email address/phone number and we'll reach out.,support_followup,False
@Uber_Support Through what app? Why is there no number I can call you on and why can't anyone give me a call?,@657044 We don't have at the moment a number you can contact for issues of this nature. Please follow up with us through email and in-app support for further assistance.,support_followup,False
@115877 can't find the free food bit anywhere in my app? Can't find my code anywhere for my boyfriend who's a new user to use it.,@178847 Sorry to hear about the trouble! Please visit https://t.co/Zu68iNpGBP so we can sort this out.,uber_eats,False
@115873 I had an issue with a recent trip and no one the help topics address the issue and there wasnt an option to write a comment under the,@187145 We're here to help. Please reach out us via DM with additional details and we'll be in touch.,ride_booking_cancellation,False
@Uber_Support I honestly haven't experienced worse customer service: 18 fraudulent journeys in India were made from from Oct 2 to 4 (I was in France at the time) means that £162.18 has been debited. Still no refund despite 10 emails to Uber CS. @76474 can you help?,@388620 Sorry for the delay. Our team is currently reviewing your email and will follow up shortly.,account_access_security,True
@115877 my order #0DF35 is taking ages. They cancelled the last order as well so we have been waiting over 2 hours! Can you sort please?,@579539 Sorry for the trouble! Find more info about order cancelled; https://t.co/BjBRiTu5jM. Please let us know if you have any other question.,uber_eats,True
@Uber_Support My email address is __email__. you can pull out my contact details from there and contact me.,@783628 We're sorry for the trouble! We're currently reviewing your email and will follow up shortly.,support_followup,False
@Uber_Support I’ve signed up and there’s no issue link,"@176693 Please click ""sign in to get help"" and you'll be directed to a page where you can contact us. Please fill out that form so we can assist.",support_followup,False
soggy nuggets and missing a drink @McDonalds and @115877 sort your shit out,@818852 Here to help! Send us a note here; https://t.co/ZFaWy0Lkdu and our team will be able to assist!,uber_eats,False
@115873 driver got it wrong 4 times when picking me up. I had to cancel the trip when he kept driving away. How do i get a refund?,"@311342 We can definitely follow up, Paulo! Send us a note here; https://t.co/e8HVorX5rh so our team can connect.",refund,True
@115873 you have charged my friend double for no reason what so ever in Miami on Wednesday - no explanation. We want this sorted please.,"@557164 Due to our privacy policy, we will have to speak directly to the account holder. Please have them contact us via https://t.co/balq3Eyso6",fare_charge,True
@115877 I have been waiting for my order which was supposed to arrive at in 15 minutes from time I placed it. The time keeps changing. How do I cancel this order as I doubt I will get my food?,@151842 Here to help! Send us a note via https://t.co/sXTPJXZ84q and we'll be in touch.,uber_eats,True
@115873 just got super unreliable the customer service is terrible lyft is sounding more like a better choice,@744664 We're so sorry about that! Please send us a DM with your email address with details so we can connect.,support_followup,True
"@Uber_Support 
Uber celebrating 3 years in Kochi, India and messaged us that there are offers for lesser kilometre when you ride. Check the prices below for 5.5 kilometres uber service
You guys are fraud n cheat https://t.co/XrUyad2CDn","@148442 Here to help, Karthik. Simply follow the link on how fares are calculated: https://t.co/UYuIveoHXo",fare_charge,True
"@Uber_Support Tried getting an UBER home from Dulles airport last night at 11:30.  2 different drivers called/texted to ask my destination.  One cancelled immediately.  On the second one, I refused to tell him, and he simply stayed where he was for 15 minutes until I gave up.",@728217 We're sorry to hear this was your experience. Contact us via https://t.co/iOszeeHZhQ and we'll be in touch.,driver_issue,True
"@Uber_Support got a password reset mail. Didn't trigger it, but did get a new phone. URL appears legit. Was this you?",@193151 We've sent you a DM.,support_followup,False
"@Uber_Support __email__
Rajat Gupta
Phone no. - 9629343477
Please check it what's the problem and please rectify it.","@122727 Happy to help! Send us a note here, https://t.co/Md7v036OoC, and our team will follow up.",support_followup,False
@115873 I have communication issues almost every single time I get an uber. If my driver can't clearly talk to me then they shouldn't drive,@501509 We can take a look! Send us a note via https://t.co/fS660rQ8NQ so our team can get in touch.,driver_issue,False
@Uber_Support I left my glasses in the car last night and I just can't get through to the driver. Please help. I can't see 😭😭😭😭,"@215731 Sorry to hear about the troubles, Natalia. Please send us a note at https://t.co/Sy2fWIhhC2 so we can look into this for you.",lost_item,True
@115873 my friend @786179 was just abandoned by his uber driver terrible employee will never be using your service,@786180 Here to help! Send us a DM with your email address and details so we can follow up.,driver_issue,True
"So you get charged for cancelling if a driver is on the way, but it's alright for a driver to cancel on you if you've been waiting? @115873 🤔","@409836 We can definitely take a look into this. Please share details here; https://t.co/593jusCquh, so our team can further assist.",ride_booking_cancellation,False
"@Uber_Support I already did. It said I'll get a confirmation email, but I didn't get any and no one contacted me.",@728711 Can you DM us your email address associated with your Uber account so we can follow up? https://t.co/sd7yH5jmbJ,support_followup,True
@Uber_Support Obviously you don't care 😂,@294616 Sorry to hear about that! Send us a DM with your email address so we can follow up.,support_followup,False
@148768 @115877 Can we get some free donughnuts in W11? Were close to the westfield store!,"@695911 If Krispy Kreme is available in your area, it should show up in your app, Emily!",uber_eats,False
@Uber_Support my friend lost his phone in an uber last night and he has no way to contact the driver,@346441 Happy to help! Please have the account holder visit https://t.co/Sy2fWIhhC2 to connect with their driver.,lost_item,True
"When @115873 app says your car is 7 minutes away it means it is 7,17,or 27 minutes away with equal probability. Deceiving. CC @116276","@344235 Sorry to hear about the trouble, please go here; https://t.co/VDgGDYPk5U to learn about the ETA system.",ride_booking_cancellation,False
@Uber_Support Can you confirm that you have received my dm please,"@425671 Hey, Maya. We've received your DMs and will be following up shortly.",support_followup,True
@Uber_Support Thanks. I kinda understood all that but I’m asking when we can get offered another? They had been coming regularly to me.,"@502733 To clarify, if you did not receive an email inviting you to purchase we'll unfortunately not be able to offer you a ride pass this month.",support_followup,False
@115877 Im Sick Of Receiving The Wrong Food 😑,@423009 We're sorry to hear this was your experience. Contact us via https://t.co/Tq0sPMsSdu and we'll be in touch.,uber_eats,False
"After the @602054 making me late to class &amp; a rude @115873 driver I was almost certain that today was going to be bad, but it’s gotten better","@489475 Let's take a look into this request for you, Joshua. Please head on over to https://t.co/TmWmJyGFaK so we can follow up with you.",driver_issue,False
@115877 thank you for ruining my night 😊.,"@667077 We want to get in touch, Gab. Can you please send a note our way via https://t.co/uqkboJBiJd?",benefits_other,False
@12857 Enable surge in Las Vegas again please. Still need to make a living here...,"@302829 Hey there, Michael. Surge will be available for you when applicable. Check out https://t.co/uNEsX57PUp for more information.",benefits_other,False
"@115877 fuck you, give me my McDonald’s",@636644 We're so sorry about that! Please send us a DM with your email address with details so we can connect.,uber_eats,False
@115873 trying to get a car in Buenos Aires and requests keep failing- what’s up?,@744311 We're here to help. Send us a note at https://t.co/xMxswVLBKT so our team can connect.,ride_booking_cancellation,False
Why even bothering scheduling a pick-up on @115873 when they’re going to give you a 20 minute window that you then have to wait for a driver to accept #notcool #35minuteslater 🖕,"@795895 Hi! Scheduling a ride in advance does not guarantee you'll be connected with a driver. In the rare case that a driver cannot be found, you'll be notified at the end of your selected time window of 15 minutes. For more information on this, click here; https://t.co/avOql7o416 .",ride_booking_cancellation,False
No @115873. You cannot tell me there is a car 3 minutes away while I’m in Times Square and then assign me a car that’s on the upper west side and say it’s 15 minutes away when any New Yorker knows it’s 30 minutes. That’s not how this works.,@254557 Here to help! Send us a note here https://t.co/e8HVorX5rh so we can further assist.,ride_booking_cancellation,False
@Uber_Support But he is not on tweeter,"@183498 Hi Ranjan, he does not need a twitter account t contact us here:  https://t.co/w7r2O6dMbU, he may also reach out via ""Help"" in the app.",support_followup,False
@uber_support Do you have a customer service phone number? I can't deal with your email support anymore. They are completely ignoring my concerns and question and not giving me any explaination as to why I'm being charged for tolls on routes that have no tolls.,"@169813 At this moment, we don't offer phone support. We're sorry for any inconvenience. Visit this link https://t.co/balq3Eyso6 so our team can assist.",support_followup,True
@Uber_Support Unfortunately it does have the option I need,@703162 Here to help! Please send us a note via  https://t.co/kGIXas5Cxg  so our team can connect.,support_followup,False
@Uber_Support why do some drivers get $45 fares guaranteed from FedEx Field while other drivers on the get $35 fares guaranteed from FedEx Field from the same Redskins game. Why is time away from my family less valuable than others?,@265378 Here to help! Send us a note at https://t.co/7mDjdIDY0Z so our team can connect.,driver_metrics,True
@115873 can I not be charged 3 times for the same ride? Please and thank you🙄🙄 https://t.co/dYKU5jY3Gb,@364168 We can definitely take a look. Send us note here; https://t.co/DceIRNI6kV so our team can assist you.,fare_charge,False
@Uber_Support For 2 KM distance Uber charge 91.82 Rs. Can you please help me to resolved this. Distance travell is 2 KM but receipt showing distance 18 km,@725662 Here to help. Send us a note at https://t.co/oEOANqFpjc so our team can connect.,fare_charge,False
Nahhhh @115877 this is the second time you're service has been unbelievably awful,"@539607 Sorry to hear this, Jonny! Please DM the details on this so we can take a look into that for you. https://t.co/sd7yH5jmbJ",support_followup,True
@115877 third time my chocolate muffin has been a no show in my order from #mcdonaldsAigburthroad Liverpool👍,@392284 Sorry to hear about this! Send us a DM with your email address so we can take a look.,uber_eats,False
Just got pulled over cause the Uber was driving wild but me &amp; my niggas got searched &amp; they went thru our shit illegally smh ...,@384161 We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,driver_issue,True
"@Uber_Support There is no app menu, it switches between 'location' and map screens. 

New question, how do I cancel my account completely? I don't want any active cards.","@130742 Here to help! Follow up here; https://t.co/3eYc7uUEUm, and our team will connect right away.",account_access_security,False
@Uber_Support okay but how do I switch my rider email,"@448911 Here to help! For more info on how to update account settings, please visit; https://t.co/ITtWuDHmtH",account_access_security,False
"@115877 Order F7ECD, your driver went to the wrong address, then argued with us about our own address, then said ""fuck you"" and then hung up.  Wow, so much professionalism.  May we have a refund?  It's been a really bad day and we just wanted a hamburger.",@796427 Sorry for the trouble! Send us a note via https://t.co/hVMgTsth35 so we can connect right away.,uber_eats,True
MY UBER DRIVER KIDNAPPED ME? So I was in the situation.He tried to kill me @115873,@418506 We want to follow up ASAP. Can you please send us a DM with your email address and additional details so we can connect?,driver_issue,True
@Uber_Support why is it when I go to place my order it doesn’t deduct the $10 promo I have on my account? Works for my friends,"@554335 Hey, Matthew. Promos are not applied until your order has been delivered.  Check your receipt and if there are any issues, let us know.",uber_eats,False
@115877 what’s the deal when they don’t deliver your full order? This has now happened twice to my Mrs with no refund ? A want fed mate,"@367730 We'd be happy to further assist. Please share details here; https://t.co/xLLG6cfrJA, so our team can further review.",uber_eats,False
@Uber_Support i was absolutely just scammed by one of your drivers. I am absolutely furious.,@611874 That's not ok! Send us a note via https://t.co/fS660rQ8NQ so our team can get in touch.,driver_issue,True
@115873 can't see the flat fare ride coupon being applied. Also communicated fare for ride was 220 https://t.co/AwZgxUDaui,"@207180 We can look into this with you, Shubham. Can you please send a note our way via https://t.co/ArZXskiMp0?",fare_charge,False
@115873 does one get a small refund when your drivers cancel the trip? Waited 7mins and the trip got cancelled! We normally get charged for cancelling a trip 3mins after it’s booked! #daylightrobbery #getyouracttogether,@696321 Hi there! Please send us a note at https://t.co/QsI1vsvcif and we'll be happy to look into this for you.,ride_booking_cancellation,False
"@Uber_Support Thank you, I can see it now",@218669 Happy to help! We're always here; feel free to reach out if you have questions.,support_followup,False
What makes me really mad is when you order extra sauce and instead you don’t get any at all🤦🏽‍♀️ @115877,@500591 Here to help! Send us a note here https://t.co/rpgpQWLRtD so we can further assist.,uber_eats,False
@Uber_Support what's the support email?,@148943 We've followed up via DM.,support_followup,False
@Uber_Support I did with no reply from uber.  Still waiting...,@249685 We're here to help! Can you send us a DM with your email address so we can connect?,support_followup,True
"@115873 @Uber_Support  when msg clearly says code applicable til 16 oct, why is it not working. Earlier uber service was gud, now fooling cust https://t.co/gsONFQUJnP","@279187 Happy to help. Please go here https://t.co/lqVgKo4ZO3, so we can take a look.",benefits_other,False
@Uber_Support I forgot my password and the email id used is closed. How I reset the password?,@706896 Hi there! Please visit; https://t.co/6wkWDpzGXc for more info. Please let us know if you have any other questions or concerns.,account_access_security,False
@Uber_Support How can I enable the auto-renew feature of  Ride Pass? I don't see it in my app.,@351824 Great question! Not all users will see the option for an auto-renew Ride Pass. We'll reach out should this change in your city.,account_access_security,False
@Uber_Support He's used your in app services to report the lost item and has called he drive multiple times however he has not answered the calls or gotten back to him,@726746 We appreciate the DM! We'll be following up there directly.,lost_item,True
@115873 DFW Wisam in Highlander — JBX0662 @  (469) 518-6040 cancelled trip @10205 — poor customer service,@262873 Sorry for the mix-up! Send us a note here: https://t.co/K05RdmK3t4 and our team will be in touch.,ride_booking_cancellation,False
"@115873 @Uber_Support 
Driver forced me to get out of cab with full bad words after taking money. What shoulb be the action? https://t.co/1RR5zUQfAi",@121059 Let's look into that! Send us a note at https://t.co/fS660rQ8NQ so our team can connect.,driver_issue,True
@Uber_Support check dms please,@729098 We can definitely take a look. Can you please send us a DM with your email address? From there we'll be able to assist further.,support_followup,False
@Uber_Support So to our email address?We just havent had any explanation why the journey was more or drop off location noted as different to where we went,"@422181 That's right, Lucy. Our team has sent our reply to the email address attached to your Uber account.",support_followup,False
Today I am fucking starving and @115877 doesn’t even deliver to where I am 😭😭😭😭,@340640 We're working hard to expand our service area. Stay tuned to our website for updates: https://t.co/Mf9vzZ0uru,uber_eats,True
@Uber_Support you have a driver in Dubai who threw a bottle on my brother in an attemp to harm! He also insulted him drove dangerously to scare him!! I want a number to call as well as I'm letting the police know of this incident! In my opinion using uber is becoming risky!,@755883 Here to help! Send us a DM with your email address so we can connect.,driver_issue,True
@Uber_Support I received multiple fraudulent charges on my credit card from Uber. Trying to find an @115873 customer service number.,@144566 We can definitely follow up! Send us a note here: https://t.co/dInR3racif so our team can connect.,account_access_security,True
Love to know why there was a x3.9 surge on my @115873 last night. A journey under 5 miles should have not cost me £26.91 https://t.co/O3LxhmhsUL,@127434 Hi there! Please visit; https://t.co/kkAwlbpH4B for more info. Please let us know if you have any other questions or concerns.,fare_charge,False
@115873 your drivers are the worst ever. They go to the wrong place then take 20 hours to come to the right place.,@331190 We can definitely take a closer look! Contact us here; https://t.co/y4EDPcVZOI so we can help.,driver_issue,True
@Uber_Support There you go,@256871 We've responded via DM!,support_followup,False
@Uber_Support I’m trying to actually help you guys and future pax fr equally bad uberpool routing only to be stuck on the “uber circle pile/“merry go round”  Further proof. Uber only cares about their $$ NOT pax / drivers.,@751962 We see your outreach and a member of our team will be following up via email as soon as possible. We appreciate your patience.,support_followup,False
"- Thanks @Uber_Support , my account is activated now.","@404868 You're welcome, Ahmed. Let us know if you have any other questions or concerns. We're here to help!",support_followup,False
.@115873 you should give loyal customers a free ride on their birthdays #uber,@628676 Here to help! Send us a note at https://t.co/FQNTfKa7k0 so our team can connect.,support_followup,False
Love feeling unsafe in an Uber. Love being hit on in a small space with a stranger I can't escape 🙃,@188490 We're here to help! Send us a DM with your email address so we can connect.,account_access_security,True
"@Uber_Support Had booked a ride on 26th Nov from Manyata Tech Park to Old Airport Rd, Domlur. Ur Driver (Venkatesh) arrives at the spot. He blatantly refused the ride &amp; asks me to cancel as I couldn't pay him in cash. Is this rude &amp; shameful behaviour acceptable to Uber?","@814106 Here to help! Please send us a note here; https://t.co/iOszeeHZhQ so our team can connect,",driver_issue,True
@Uber_Support @356309 we should ban Uber in India. their driver takes their own route and waste your time. No safety for females. Moreover their female employees are not much concerned. they want this problem from drivers of Uber,"@692702 We've followed up within your Direct Messages, Dheeraj.",driver_issue,True
Wow. The cops pull my Uber over right when he pulls up,@486728 We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,driver_issue,False
"@Uber_Support 
I have forgot my password and registered mail id for my login with my no. 8467044422.
Kindly help me in resetting my password",@371177 Sorry to hear about the trouble! Please visit https://t.co/6wkWDpzGXc so we can sort this out.,account_access_security,False
