text_customer,text_uber,intent,escalate,predicted_intent,predicted_escalate,generated_response,retrieved_evidence,helpfulness,grounding,actionability,appropriateness,judge_helpfulness,judge_grounding,judge_actionability,judge_appropriateness
@115877 - customer service number please your driver took 35 min and delivered half my order.,"@254415 At this moment, we don't offer phone support for these issues. We're sorry for any inconvenience! Visit this link: https://t.co/rpgpQWLRtD so our team can assist.",uber_eats,True,uber_eats,False,"Hi @115877, I’m sorry to hear about the delay and missing items. Please DM us with the email address linked to your account and the order details so we can look into this for you. Thank you.",,2,1,2,3,3.0,3.0,3.0,3.0
@Uber_Support its ok if you cannot provide me the driver details... i just wanted the exact pick up point from Rajokri to the airport this evening... it wasnt very clear on the ETA.. could you kindly help with just that...,"@150628 Hi, Shibani. The pickup location can be found on your receipt via your account email. Have a wonderful rest of your day!",driver_issue,False,location_app_issue,False,Hi! I’m sorry I don’t have the exact pickup point details available here. Please reach out to Uber Support directly through the app or the help center so we can provide the precise location for your ride from Rajokri to the airport. Thank you for understanding.,,2,2,2,3,2.0,3.0,2.0,3.0
"Highly disappointed with @115873 @Uber_Support. This is the third time, I filed a complaint against their driver but never got any support/help/reply.
 Yesterday I stucked with the wrong driver who allowed someone to accompany him &amp; took wrong route to GNH, Gurgaon.",@279430 We're here to help. Can you please send us a DM with your email address so we can look into this?,driver_issue,True,driver_issue,True,"I’m sorry to hear you’ve had a frustrating experience. To help us look into this, please send a direct message to @698394 with your email address and a brief description of the incident. They’ll be able to review your complaint and get back to you. If you need immediate assistance, you can also reach out through the Uber app’s Help section. Thank you for bringing this to our attention.",,3,3,3,3,2.0,3.0,3.0,3.0
@Uber_Support But he is not on tweeter,"@183498 Hi Ranjan, he does not need a twitter account t contact us here:  https://t.co/w7r2O6dMbU, he may also reach out via ""Help"" in the app.",support_followup,False,benefits_other,False,"Hi there! I’m sorry for the confusion. To keep your details private, we’ll need to move this conversation to a direct message. Please DM us your email address and phone number so we can look into the issue securely. Thank you!",,2,2,2,3,1.0,3.0,2.0,3.0
@Uber_Support I'm a driver and I can't seem to get request on my phone,"@638799 Thanks for following up, Patrick. Please send us a note at https://t.co/dx1D9XF2V5 so we can look into this for you.",driver_metrics,True,driver_issue,False,@Uber_Support Here to help! Send us a note here: https://t.co/xMxswVLBKT and our team will assist you.,,2,3,2,3,1.0,3.0,2.0,3.0
@115873 you have customer service who don’t know how to solve a relatively simple problem and now I’m so pissed off that I may never use you guys again and I ride with you at least 5-6 times per day,@127437 We're sorry to hear this was your experience. Our team is currently reviewing your email and will connect shortly.,support_followup,True,support_followup,True,"Hi @115873, I’m sorry you’re having trouble. Please send us a direct message with your email address and a brief description of the issue, and our team will look into it right away. If you prefer, you can also reach out through this link: https://t.co/balq3Eyso6. We appreciate your frequent rides and want to resolve this for you as quickly as possible.",,2,3,3,3,2.0,3.0,3.0,3.0
@Uber_Support Are you full of shit or are you going to call me ?,"@139532 We're certainly not giving you the runaround, Robert! Rather, we fully intend to do everything within the scope of our abilities to help you. The best way for us to give you the thorough assistance you deserve in the circumstances that you've described isn't via phone.",support_followup,True,support_followup,False,"Hi, I’m sorry you’re feeling frustrated. I’ve noted your concern and a member of our team will review your message and get back to you as soon as possible. If you need to provide any additional details, please reply here or contact us through the Uber app’s Help section.",,3,2,3,3,,,,
@115877 @64394 Ordered at 4 got a driver at 5 and cancelled shortly after what’s happening here? https://t.co/vaawOF9XzE,@484433 Here to help! Send us a note at https://t.co/P4hKbfQBbP so our team can connect.,ride_booking_cancellation,True,driver_issue,False,Hi there! I’m here to help. Could you please send us a direct message with your email address and phone number so we can look into what happened with your recent order? Thank you.,,2,3,2,3,1.0,3.0,2.0,3.0
@115873 The driver who made us wait 17 minutes only to cancel and put us in a panic was Taxi 3829.. will also report him to Thai taxi service,"@185644 Hey, Chris.We want to help solve this issue. Please DM us the email associated with your account and trip details so we can look into this.",driver_issue,False,driver_issue,True,"Hi @115873, I’m sorry to hear about the delay and cancellation. Could you please DM us your email address and any additional details about the trip so we can look into this for you? Thank you.",,3,3,2,3,2.0,3.0,3.0,3.0
@Uber_Support I have three charges on my account all for the same day in which I took 0 trips?,"@383419 We've sent a DM, Grant, please see your inbox for details.",account_access_security,True,fare_charge,True,Hi there! I’m sorry to hear about the extra charges. Please DM us your account email and any details about the day in question so we can look into it for you. Thank you!,,2,2,2,3,3.0,3.0,3.0,3.0
